"","id","Clone.1","Clone.2","Freq.clone.1","Freq.clone.2","Rep","rand","run","day","rt_ml","algae_ml","pred_freq_clone.1","pred_freq_clone.2","treat"
"1",1,"CR1","CR6",0,1,3,400,1,0,4,385000,0,1,"Control"
"2",2,"CR1","CR7",0,1,3,399,1,0,4,385000,0,1,"Control"
"3",3,"CR2","CR7",0.9,0.1,2,398,1,0,4,385000,0.9,0.1,"Treatment"
"4",4,"CR1","CR7",0,1,7,397,1,0,4,385000,0,1,"Control"
"5",5,"CR2","CR6",0.8,0.2,7,396,1,0,4,385000,0.8,0.2,"Treatment"
"8",8,"CR2","CR7",0.9,0.1,5,393,1,0,4,385000,0.9,0.1,"Treatment"
"9",9,"CR1","CR6",0.9,0.1,5,392,1,0,4,385000,0.9,0.1,"Treatment"
"10",10,"CR1","CR6",0,1,2,391,1,0,4,385000,0,1,"Control"
"11",11,"CR1","CR6",0.8,0.2,9,390,1,0,4,385000,0.8,0.2,"Treatment"
"12",12,"CR1","CR7",0.7,0.3,1,389,1,0,4,385000,0.7,0.3,"Treatment"
"15",15,"CR2","CR7",0.7,0.3,10,386,1,0,4,385000,0.7,0.3,"Treatment"
"16",16,"CR2","CR6",0.8,0.2,8,385,1,0,4,385000,0.8,0.2,"Treatment"
"21",21,"CR1","CR6",0.6,0.4,8,380,1,0,4,385000,0.6,0.4,"Treatment"
"26",26,"CR2","CR7",0.7,0.3,8,375,1,0,4,385000,0.7,0.3,"Treatment"
"27",27,"CR1","CR7",0.7,0.3,9,374,1,0,4,385000,0.7,0.3,"Treatment"
"28",28,"CR2","CR7",0.6,0.4,9,373,1,0,4,385000,0.6,0.4,"Treatment"
"29",29,"CR2","CR7",0.8,0.2,1,372,1,0,4,385000,0.8,0.2,"Treatment"
"30",30,"CR1","CR6",0.7,0.3,6,371,1,0,4,385000,0.7,0.3,"Treatment"
"31",31,"CR1","CR7",0.7,0.3,6,370,1,0,4,385000,0.7,0.3,"Treatment"
"32",32,"CR2","CR6",0.8,0.2,4,369,1,0,4,385000,0.8,0.2,"Treatment"
"36",36,"CR1","CR7",0.6,0.4,9,365,1,0,4,385000,0.6,0.4,"Treatment"
"37",37,"CR2","CR6",0.6,0.4,5,364,1,0,4,385000,0.6,0.4,"Treatment"
"38",38,"CR1","CR6",1,0,7,363,1,0,4,385000,1,0,"Control"
"40",40,"CR2","CR6",0.8,0.2,1,361,1,0,4,385000,0.8,0.2,"Treatment"
