"","X","id","Clone.1","Clone.2","Freq.clone.1","Freq.clone.2","Rep","rand","run","day","rt_ml","algae_ml","pred_freq_clone.1","pred_freq_clone.2","treat","fact_freq_def","rt_growth","x_var","evo","eco","eco_evo","evo_eco","ln_cr","ln_rt"
"1",3,3,"CR2","CR7",0.9,0.1,2,398,1,0,4,385000,0.9,0.1,"Treatment","0.9",NA,346500,-0.0168330693689128,0.00891869752985701,-0.529831923958444,-1.8873909909559,12.8609986132699,1.6094379124341
"2",103,3,"CR2","CR7",0.9,0.1,2,398,1,1,3.4,718552.0360181,0.246153846153846,0.753846153846154,"Treatment","0.9",-0.127833371509885,176874.347327532,0.00484008938908934,-0.0019315159795073,-0.399066179203504,-2.50585003719408,13.4849934050077,1.48160454092422
"3",203,3,"CR2","CR7",0.9,0.1,2,398,1,2,5.6,591312.21719457,0.404545454545455,0.595454545454545,"Treatment","0.9",0.405465108108164,239212.669683258,NA,NA,NA,NA,13.2900994431794,1.88706964903238
"4",303,3,"CR2","CR7",0.9,0.1,2,398,1,3,NA,2956.25942660633,NA,NA,"Treatment","0.9",NA,NA,NA,NA,NA,NA,7.9916800409392,NA
"5",403,3,"CR2","CR7",0.9,0.1,2,398,1,4,15.4,886334.841447964,0.659722222222222,0.340277777777778,"Treatment","0.9",0.455105842898887,584734.791233032,-0.00123289297643824,0.00316786246812599,-2.56945455012469,-0.389187658505761,13.6948500830764,2.79728133483015
"6",503,3,"CR2","CR7",0.9,0.1,2,398,1,5,23.6,991493.212669683,0.631578947368421,0.368421052631579,"Treatment","0.9",0.405465108108164,626206.239580852,-0.0167735520222339,0.00205150922557183,-0.122306189103685,-8.1762011172816,13.8069673814013,3.20274644293832
"7",603,3,"CR2","CR7",0.9,0.1,2,398,1,6,32.4,1087360.48289593,0.285714285714286,0.714285714285714,"Treatment","0.9",0.305809457044337,310674.423684552,-0.000441508602463503,-0.00028825134643265,0.652878210807858,1.53167923733068,13.899263742125,3.50855589998265
"8",703,3,"CR2","CR7",0.9,0.1,2,398,1,7,46.4,1065399.69828054,0.276923076923077,0.723076923076923,"Treatment","0.9",0.350066328718377,295033.762600765,0.0201176137866678,-0.00123866660253832,-0.0615712487412002,-16.2413467396651,13.8788605902667,3.85862222870103
"9",803,3,"CR2","CR7",0.9,0.1,2,398,1,8,41.8,1010618.40108597,0.692307692307692,0.307692307692308,"Treatment","0.9",-0.10208412611328,699658.893059517,NA,NA,NA,NA,13.8260729797545,3.75653810258775
"10",5,5,"CR2","CR6",0.8,0.2,7,396,1,0,4,385000,0.8,0.2,"Treatment","0.8",NA,308000,-0.0453793848570602,0.019740112566208,-0.435001766295139,-2.29884124038596,12.8609986132699,1.6094379124341
"11",105,5,"CR2","CR6",0.8,0.2,7,396,1,1,4.6,900512.820271493,0.032520325203252,0.967479674796748,"Treatment","0.8",0.113328685307003,29284.9697649266,0.0493322171631651,-0.000736562307622327,-0.0149306548535243,-66.9762987498137,13.7107196803336,1.7227665977411
"12",205,5,"CR2","CR6",0.8,0.2,7,396,1,2,7.6,876561.085791855,0.636065573770492,0.363934426229508,"Treatment","0.8",0.428995605518358,557550.329979082,-0.0249946336321525,-0.00628480085718774,0.251446008358495,3.97699691686601,13.6837616737751,2.15176220325946
"13",305,5,"CR2","CR6",0.8,0.2,7,396,1,3,10.7894736842105,730256.410316742,0.297872340425532,0.702127659574468,"Treatment","0.8",0.315444869429135,217523.186051796,0.0124371814825108,-0.00265471691285474,-0.213450042245327,-4.68493699734506,13.501150998461,2.4672070726886
"14",405,5,"CR2","CR6",0.8,0.2,7,396,1,4,10.4,657254.901719457,0.492753623188406,0.507246376811594,"Treatment","0.8",-0.0335937172881473,323864.734180602,0.00578449777454415,0.00712561280769475,1.23184640835241,0.811789516306252,13.3958272004867,2.43361335540045
"15",505,5,"CR2","CR6",0.8,0.2,7,396,1,5,15.2,801809.954932127,0.578947368421053,0.421052631578947,"Treatment","0.8",0.351397886837888,464205.763381758,-0.015973822134769,0.0124405185104732,-0.778806625334515,-1.28401578449654,13.5946268948432,2.78501124223834
"16",605,5,"CR2","CR6",0.8,0.2,7,396,1,6,18,1079698.34063348,0.394366197183099,0.605633802816901,"Treatment","0.8",0.159427736928102,425796.528700528,-0.0040811545905925,0.00437431884954698,-1.07183365698282,-0.932980592170403,13.8921922458567,2.94443897916644
"17",705,5,"CR2","CR6",0.8,0.2,7,396,1,7,36.4,1206515.83710407,0.355555555555556,0.644444444444444,"Treatment","0.8",0.677231725254046,428983.408748114,0.0308158346917022,-0.00123865562536443,-0.0401954267264409,-24.8784521384914,14.003247290446,3.62167070442049
"18",805,5,"CR2","CR6",0.8,0.2,7,396,1,8,37.8,1179366.5158371,0.636363636363636,0.363636363636364,"Treatment","0.8",0.0367495422087414,750505.964623609,NA,NA,NA,NA,13.9804880013003,3.65842024662923
"19",8,8,"CR2","CR7",0.9,0.1,5,393,1,0,4,385000,0.9,0.1,"Treatment","0.9",NA,346500,-0.0928301611353659,0.0530916121288781,-0.571922007670108,-1.74849015528147,12.8609986132699,1.6094379124341
"20",108,8,"CR2","CR7",0.9,0.1,5,393,1,1,4.4,750648.566877828,0.251655629139073,0.748344370860927,"Treatment","0.9",0.0769610411361286,188904.937359983,0.0379881832975178,-0.00442834246330291,-0.116571577761979,-8.57842039370732,13.5286928676637,1.68639895357023
"21",208,8,"CR2","CR7",0.9,0.1,5,393,1,2,7.2,701236.802171946,0.459183673469388,0.540816326530612,"Treatment","0.9",0.417735200699979,321996.490793241,0.0288265122857562,-0.00722322658172274,-0.250575807094495,-3.99080825717101,13.4606009152098,2.10413415427021
"22",308,8,"CR2","CR7",0.9,0.1,5,393,1,3,9.5,648567.118914027,0.628571428571429,0.371428571428571,"Treatment","0.9",0.24724110289327,407670.760460246,-0.0102406134595967,0.0280496619198093,-2.73906070475917,-0.365088659138689,13.3825207760939,2.35137525716348
"23",408,8,"CR2","CR7",0.9,0.1,5,393,1,4,13.4,833604.826425339,0.573770491803279,0.426229508196721,"Treatment","0.9",0.315852949418477,478297.851227654,0.0148800055491358,-0.00452714561314183,-0.304243543336901,-3.2868404996607,13.6335147398221,2.66722820658195
"24",508,8,"CR2","CR7",0.9,0.1,5,393,1,5,17.6,804162.895927602,0.645833333333333,0.354166666666667,"Treatment","0.9",0.255933374137201,519355.203619909,-0.0506516166375176,0.0622893338961788,-1.22976003593222,-0.813166773013524,13.5975571345142,2.92316158071916
"25",608,8,"CR2","CR7",0.9,0.1,5,393,1,6,24,1254720.96542986,0.450704225352113,0.549295774647887,"Treatment","0.9",0.295714244149045,565508.04075712,0.0122659387635387,-0.0186809215589012,-1.52299158825343,-0.656602444631228,14.0424237675243,3.2188758248682
"26",708,8,"CR2","CR7",0.9,0.1,5,393,1,7,30.4,1097556.56090498,0.492063492063492,0.507936507936508,"Treatment","0.9",0.227932068046007,540067.514096101,0.1030010710521,0.0163966222029181,0.159188851488974,6.28184694246169,13.9085969587356,3.44680789291421
"27",808,8,"CR2","CR7",0.9,0.1,5,393,1,8,46,1194570.13574661,0.848484848484849,0.151515151515152,"Treatment","0.9",0.403339708795851,1013574.66063349,NA,NA,NA,NA,13.9932969595928,3.85014760171006
"28",9,9,"CR1","CR6",0.9,0.1,5,392,1,0,4,385000,0.9,0.1,"Treatment","0.9",NA,346500,NA,NA,NA,NA,12.8609986132699,1.6094379124341
