Kc1,Kc2,P1,P2,dist,run,start_freq,ln_evo_eco,Kc1_ms,Kc2_ms,P1_ms,P2_ms,trait_dist,Kc1_f
1,8,0.9,0.2,1,1,0.6,3.882674335,0,1,1,0,7.034912935,1
1,7.93030303,0.9,0.206969697,2,2,0.6,3.925534986,0,0.99004329,1,0.00995671,6.964868347,1
1,7.860606061,0.9,0.213939394,3,3,0.6,3.834996645,0,0.98008658,1,0.01991342,6.894823759,1
1,7.790909091,0.9,0.220909091,4,4,0.6,3.812055224,0,0.97012987,1,0.02987013,6.824779172,1
1,7.721212121,0.9,0.227878788,5,5,0.6,3.789568637,0,0.96017316,1,0.03982684,6.754734584,1
1,7.651515152,0.9,0.234848485,6,6,0.6,3.76732248,0,0.95021645,1,0.04978355,6.684689996,1
1,7.581818182,0.9,0.241818182,7,7,0.6,3.7581768,0,0.94025974,1,0.05974026,6.614645409,1
1,7.512121212,0.9,0.248787879,8,8,0.6,3.765359125,0,0.93030303,1,0.06969697,6.544600821,1
1,7.442424242,0.9,0.255757576,9,9,0.6,3.780977056,0,0.92034632,1,0.07965368,6.474556233,1
1,7.372727273,0.9,0.262727273,10,10,0.6,3.752134234,0,0.91038961,1,0.08961039,6.404511646,1
1,7.303030303,0.9,0.26969697,11,11,0.6,3.794662341,0,0.9004329,1,0.0995671,6.334467058,1
1,7.233333333,0.9,0.276666667,12,12,0.6,3.764823761,0,0.89047619,1,0.10952381,6.26442247,1
1,7.163636364,0.9,0.283636364,13,13,0.6,3.737777994,0,0.880519481,1,0.119480519,6.194377883,1
1,7.093939394,0.9,0.290606061,14,14,0.6,3.711216677,0,0.870562771,1,0.129437229,6.124333295,1
1,7.024242424,0.9,0.297575758,15,15,0.6,3.736143678,0,0.860606061,1,0.139393939,6.054288708,1
1,6.954545455,0.9,0.304545455,16,16,0.6,3.678533461,0,0.850649351,1,0.149350649,5.98424412,1
1,6.884848485,0.9,0.311515152,17,17,0.6,3.658756567,0,0.840692641,1,0.159307359,5.914199532,1
1,6.815151515,0.9,0.318484848,18,18,0.6,3.648754296,0,0.830735931,1,0.169264069,5.844154945,1
1,6.745454545,0.9,0.325454545,19,19,0.6,3.643673804,0,0.820779221,1,0.179220779,5.774110357,1
1,6.675757576,0.9,0.332424242,20,20,0.6,3.649984963,0,0.810822511,1,0.189177489,5.704065769,1
1,6.606060606,0.9,0.339393939,21,21,0.6,3.655026126,0,0.800865801,1,0.199134199,5.634021182,1
1,6.536363636,0.9,0.346363636,22,22,0.6,3.635440689,0,0.790909091,1,0.209090909,5.563976594,1
1,6.466666667,0.9,0.353333333,23,23,0.6,3.620000694,0,0.780952381,1,0.219047619,5.493932006,1
1,6.396969697,0.9,0.36030303,24,24,0.6,3.628936126,0,0.770995671,1,0.229004329,5.423887419,1
1,6.327272727,0.9,0.367272727,25,25,0.6,3.624394155,0,0.761038961,1,0.238961039,5.353842831,1
1,6.257575758,0.9,0.374242424,26,26,0.6,3.56755129,0,0.751082251,1,0.248917749,5.283798243,1
1,6.187878788,0.9,0.381212121,27,27,0.6,3.538534965,0,0.741125541,1,0.258874459,5.213753656,1
